,id_student,code_module,code_presentation,score_CMA,score_Exam,score_TMA,valid_submission,late_submission,weighted_score,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,total_clickSum,dataplus,dualpane,externalquiz,folder,forumng,glossary,homepage,htmlactivity,oucollaborate,oucontent,ouelluminate,ouwiki,page,questionnaire,quiz,repeatactivity,resource,sharedsubpage,subpage,url,final_result
19,94961,0,3,0,0,54.3,3,1,54.3,1,8,2,6,1,1,5,0,881,0,0,0,0,131,0,212,0,0,371,0,0,0,0,0,0,18,0,114,35,1
21,101116,0,3,0,0,82.9,4,1,82.9,0,0,2,5,1,0,5,0,1611,5,0,0,0,655,1,341,0,0,447,0,0,0,0,0,0,43,0,89,30,1
22,107489,0,3,0,0,80.5,3,2,80.5,0,3,1,1,0,0,5,0,3418,13,0,0,0,1134,0,832,0,2,1067,0,0,0,0,0,0,12,0,236,122,1
23,108872,0,3,0,0,60.9,5,0,60.9,1,3,1,7,2,0,5,0,1281,0,0,0,0,330,0,289,0,0,570,0,0,0,0,0,0,21,0,65,6,1
24,109155,0,3,0,0,67.2,5,0,67.2,0,8,1,8,0,0,5,0,2828,7,0,0,0,1026,0,472,0,0,1175,0,0,0,0,0,0,8,0,84,56,1
25,117818,0,3,0,0,56.5,3,2,56.5,0,3,0,3,1,0,5,0,1630,2,0,0,0,22,0,295,0,0,1056,0,0,0,0,0,0,63,0,127,65,1
27,121349,0,3,0,0,77.3,5,0,77.3,0,9,0,3,1,1,5,0,2259,13,0,0,0,41,0,261,0,0,1744,0,0,0,0,0,0,26,0,114,60,1
28,124064,0,3,0,0,87.6,3,2,87.6,0,7,0,5,0,0,17,0,1970,0,0,0,0,428,0,557,0,3,688,0,0,0,0,0,0,32,0,183,79,1
29,125018,0,3,0,0,64.3,5,0,64.3,1,8,1,6,1,0,5,0,2114,8,0,0,0,694,0,357,0,2,935,0,0,0,0,0,0,5,0,80,33,1
30,130034,0,3,0,0,77.6,5,0,77.6,0,0,0,5,1,0,5,0,1713,3,0,0,0,175,0,487,0,0,675,0,0,0,0,0,0,40,0,209,124,1
31,130547,0,3,0,0,58,1,4,58,0,8,0,6,1,0,5,0,1046,14,0,0,0,103,0,137,0,0,685,0,0,0,0,0,0,8,0,70,29,1
32,130636,0,3,0,0,59.7,5,0,59.7,1,7,0,9,0,0,5,0,220,0,0,0,0,30,0,36,0,0,118,0,0,0,0,0,0,8,0,22,6,1
33,131390,0,3,0,0,78.7,5,0,78.7,1,0,0,8,1,0,5,0,68,0,0,0,0,27,0,19,0,0,17,0,0,0,0,0,0,1,0,4,0,1
34,133816,0,3,0,0,66,5,0,66,0,8,0,6,1,0,5,0,3852,3,0,0,0,1552,0,762,0,1,1286,0,0,0,0,0,0,3,0,152,93,1
35,133922,0,3,0,0,77.9,0,5,77.9,1,4,2,0,0,0,5,0,515,0,0,0,0,50,0,129,0,0,256,0,0,0,0,0,0,9,0,53,18,1
36,135400,0,3,0,0,48.4,1,4,48.4,0,7,2,8,1,1,5,1,269,0,0,0,0,2,0,36,0,0,188,0,0,0,0,0,0,1,0,26,16,1
37,135471,0,3,0,0,84.2,5,0,84.2,1,0,2,8,1,0,5,0,1958,8,0,0,0,95,1,364,0,0,1335,0,0,0,0,0,0,19,0,87,49,1
38,139033,0,3,0,0,61.7,5,0,61.7,1,7,0,8,1,0,5,0,757,0,0,0,0,105,0,196,0,2,388,0,0,0,0,0,0,8,0,52,6,0
39,141377,0,3,0,0,47,3,2,47,1,9,0,8,0,1,31,0,612,0,0,0,0,160,0,110,0,0,272,0,0,0,0,0,0,13,0,54,3,1
40,141506,0,3,0,0,7.5,1,0,7.5,1,6,0,1,1,0,5,0,341,0,0,0,0,140,11,81,0,0,66,0,0,0,0,0,0,6,0,30,7,0
41,146503,0,3,0,0,61.9,5,0,61.9,1,0,2,2,1,0,17,1,329,0,0,0,0,42,1,99,0,0,101,0,0,0,0,0,0,12,0,69,5,1
42,147756,0,3,0,0,64.5,0,5,64.5,1,4,2,5,0,1,17,0,1056,1,0,0,0,112,48,177,0,0,637,0,0,0,0,0,0,22,0,59,0,1
43,148993,0,3,0,0,84,2,3,84,0,5,0,2,1,1,5,1,1857,0,0,0,0,1097,0,447,0,0,249,0,0,0,0,0,0,15,0,37,12,1
44,149741,0,3,0,0,67.2,5,0,67.2,0,6,0,1,1,0,5,0,1799,13,0,0,0,278,0,318,0,5,1020,0,0,0,0,0,0,14,0,91,60,1
45,149962,0,3,0,0,68.9,4,1,68.9,1,11,0,5,0,0,5,0,138,0,0,0,0,52,0,20,0,0,54,0,0,0,0,0,0,1,0,10,1,1
48,155984,0,3,0,0,79,2,3,79,0,0,2,6,0,1,17,0,1693,9,0,0,0,229,0,414,0,0,833,0,0,0,0,0,0,8,0,121,79,1
51,164944,0,3,0,0,62.7,3,2,62.7,0,0,0,3,0,0,5,1,1275,0,0,0,0,690,1,275,0,0,186,0,0,0,0,0,0,13,0,81,29,1
52,165226,0,3,0,0,7.7,1,0,7.7,0,10,0,2,0,0,5,0,643,0,0,0,0,107,0,103,0,2,375,0,0,0,0,0,0,5,0,38,13,0
53,167961,0,3,0,0,76.3,5,0,76.3,1,9,1,6,2,0,5,0,1981,3,0,0,0,235,5,386,0,9,1118,0,0,0,0,0,0,12,0,117,96,1
54,174024,0,3,0,0,61.3,5,0,61.3,1,4,0,9,1,0,5,0,727,3,0,0,0,0,0,92,0,0,589,0,0,0,0,0,0,5,0,31,7,1
55,174094,0,3,0,0,76,3,2,76,0,7,2,2,1,0,5,1,4238,1,0,0,0,72,0,831,0,1,2981,0,0,0,0,0,0,16,0,162,174,1
56,174745,0,3,0,0,66.1,5,0,66.1,0,1,0,6,1,0,5,0,1499,0,0,0,0,211,0,185,0,0,1045,0,0,0,0,0,0,8,0,48,2,1
57,175447,0,3,0,0,70,4,1,70,1,3,0,4,1,0,5,0,3305,0,0,0,0,1289,0,509,0,0,1392,0,0,0,0,0,0,7,0,74,34,1
59,183057,0,3,0,0,66.4,0,5,66.4,1,10,2,8,0,0,5,0,623,1,0,0,0,132,0,242,0,0,171,0,0,0,0,0,0,16,0,52,9,1
60,185350,0,3,0,0,57.5,2,3,57.5,1,12,2,9,1,0,5,0,160,0,0,0,0,3,0,40,0,0,84,0,0,0,0,0,0,4,0,29,0,0
61,188278,0,3,0,0,69.6,3,2,69.6,1,12,0,6,1,1,5,0,2996,7,0,0,0,605,0,751,0,2,1223,0,0,0,0,0,0,10,0,241,157,1
62,199636,0,3,0,0,73.8,4,1,73.8,1,0,0,2,1,0,5,0,1759,2,0,0,0,116,0,336,0,0,1114,0,0,0,0,0,0,35,0,103,53,1
63,199897,0,3,0,0,69.6,1,4,69.6,1,1,1,9,1,0,5,0,2135,1,0,0,0,166,0,442,0,2,1262,0,0,0,0,0,0,33,0,153,76,1
64,200804,0,3,0,0,64.1,3,2,64.1,1,8,0,8,0,0,5,0,908,0,0,0,0,163,0,99,0,2,588,0,0,0,0,0,0,13,0,36,7,1
65,205494,0,3,0,0,64,5,0,64,1,9,1,2,1,0,5,0,826,0,0,0,0,61,0,103,0,0,609,0,0,0,0,0,0,4,0,30,19,1
66,228021,0,3,0,0,82.2,5,0,82.2,1,6,0,3,1,0,5,0,3840,24,0,0,0,774,0,1003,0,2,1794,0,0,0,0,0,0,36,0,169,38,1
67,228383,0,3,0,0,70.1,2,3,70.1,1,12,1,4,0,0,5,0,2323,8,0,0,0,44,0,399,0,1,1619,0,0,0,0,0,0,12,0,168,72,1
68,232307,0,3,0,0,64.9,4,1,64.9,1,8,2,4,1,0,5,0,649,7,0,0,0,96,1,126,0,0,349,0,0,0,0,0,0,18,0,47,5,1
69,235068,0,3,0,0,59.6,5,0,59.6,0,1,2,2,1,0,5,0,2548,9,0,0,0,114,0,723,0,1,1359,0,0,0,0,0,0,9,0,192,141,1
70,235507,0,3,0,0,56.3,3,2,56.3,1,12,0,8,0,1,27,0,943,8,0,0,0,172,1,255,0,1,418,0,0,0,0,0,0,23,0,64,1,1
71,236875,0,3,0,0,46.7,1,4,46.7,1,11,0,3,0,0,5,0,183,0,0,0,0,6,0,37,0,0,110,0,0,0,0,0,0,2,0,28,0,1
72,237274,0,3,0,0,72.2,5,0,72.2,1,12,0,9,0,0,5,0,1886,13,0,0,0,486,0,377,0,4,880,0,0,0,0,0,0,27,0,94,5,1
73,243510,0,3,0,0,42.5,3,2,42.5,0,9,2,5,0,0,5,0,504,0,0,0,0,133,0,131,0,0,187,0,0,0,0,0,0,6,0,34,13,0
74,244246,0,3,0,0,67.8,4,1,67.8,0,7,0,5,0,0,5,0,1062,0,0,0,0,71,0,243,0,3,614,0,0,0,0,0,0,8,0,73,50,1
75,248581,0,3,0,0,85,5,0,85,0,11,0,3,0,0,5,0,2699,3,0,0,0,241,0,522,0,1,1830,0,0,0,0,0,0,25,0,69,8,1
76,252073,0,3,0,0,47,3,2,47,0,12,0,2,1,0,17,0,861,3,0,0,0,31,0,168,0,0,455,0,0,0,0,0,0,24,0,138,42,1
77,254625,0,3,0,0,82.4,3,2,82.4,1,10,0,1,1,0,5,0,1771,7,0,0,0,238,0,286,0,0,1054,0,0,0,0,0,0,8,0,103,75,1
78,258587,0,3,0,0,81.1,5,0,81.1,1,9,0,9,1,0,5,0,5640,20,0,0,0,524,0,1163,0,0,3318,0,0,0,0,0,0,25,0,354,236,1
79,260623,0,3,0,0,69.5,3,2,69.5,1,7,2,3,0,0,5,0,1102,0,0,0,0,244,0,287,0,0,454,0,0,0,0,0,0,4,0,72,41,1
80,263251,0,3,0,0,74,5,0,74,1,0,0,3,1,0,5,0,2356,6,0,0,0,929,0,330,0,0,941,0,0,0,0,0,0,26,0,82,42,1
81,263543,0,3,0,0,78.8,5,0,78.8,1,0,2,8,1,0,5,0,1484,2,0,0,0,109,0,343,0,0,727,0,0,0,0,0,0,17,0,156,130,1
82,263952,0,3,0,0,89.9,3,2,89.9,1,4,2,10,1,0,5,0,1198,0,0,0,0,256,0,277,0,1,590,0,0,0,0,0,0,10,0,44,20,1
83,266524,0,3,0,0,54.9,3,2,54.9,0,8,0,2,0,0,35,0,307,0,0,0,0,62,0,94,0,0,108,0,0,0,0,0,0,14,0,29,0,1
84,273346,0,3,0,0,82.1,5,0,82.1,1,1,2,6,1,0,5,0,1796,16,0,0,0,198,0,538,0,0,815,0,0,0,0,0,0,15,0,129,85,1
87,275792,0,3,0,0,73.6,4,1,73.6,0,0,1,4,0,0,5,0,556,0,0,0,0,48,0,140,0,2,287,0,0,0,0,0,0,15,0,60,4,1
88,277123,0,3,0,0,44.2,5,0,44.2,0,1,0,6,1,0,5,0,456,0,0,0,0,34,0,97,0,0,233,0,0,0,0,0,0,3,0,58,31,0
89,281077,0,3,0,0,72.6,3,2,72.6,0,0,1,4,0,0,5,0,796,0,0,0,0,126,0,236,0,0,221,0,0,0,0,0,0,57,0,113,43,1
90,281636,0,3,0,0,83.1,5,0,83.1,0,11,0,1,0,0,5,0,2288,1,0,0,0,352,0,451,0,0,1121,0,0,0,0,0,0,57,0,202,104,1
91,285315,0,3,0,0,86.3,5,0,86.3,1,0,1,6,0,0,5,0,1140,0,0,0,0,104,3,211,0,0,622,0,0,0,0,0,0,22,0,131,47,1
92,287040,0,3,0,0,73.1,4,1,73.1,0,0,0,3,1,0,11,0,1933,5,0,0,0,362,0,335,0,0,1032,0,0,0,0,0,0,40,0,112,47,1
93,287204,0,3,0,0,74.4,4,1,74.4,1,6,0,0,0,0,5,0,1777,0,0,0,0,367,0,307,0,0,940,0,0,0,0,0,0,49,0,106,8,1
94,287210,0,3,0,0,72.9,5,0,72.9,1,6,0,6,1,0,5,0,2560,16,0,0,0,66,0,600,0,0,1614,0,0,0,0,0,0,11,0,166,87,1
95,289449,0,3,0,0,74.8,5,0,74.8,1,1,1,8,1,0,5,0,1135,8,0,0,0,79,0,218,0,1,752,0,0,0,0,0,0,34,0,30,13,1
96,290164,0,3,0,0,65,2,3,65,0,6,1,2,1,0,5,0,5367,36,0,0,0,2336,4,1066,0,4,1623,0,0,0,0,0,0,25,0,179,94,1
97,292525,0,3,0,0,84.6,5,0,84.6,1,8,0,6,0,0,5,0,310,0,0,0,0,0,0,50,0,0,196,0,0,0,0,0,0,10,0,50,4,1
98,292775,0,3,0,0,82.8,2,3,82.8,1,7,0,3,0,0,5,0,1626,3,0,0,0,198,0,336,0,0,872,0,0,0,0,0,0,5,0,132,80,1
99,293824,0,3,0,0,58.7,4,1,58.7,0,9,0,4,1,0,5,0,6825,8,0,0,0,3459,0,1857,0,3,1227,0,0,0,0,0,0,15,0,156,100,1
100,294496,0,3,0,0,80,1,4,80,1,5,0,9,1,0,5,1,1236,0,0,0,0,177,0,390,0,0,437,0,0,0,0,0,0,9,0,136,87,1
101,294655,0,3,0,0,77.9,0,5,77.9,1,10,0,6,1,0,5,0,2113,0,0,0,0,352,1,217,0,1,1420,0,0,0,0,0,0,20,0,101,1,0
102,295060,0,3,0,0,67.7,4,1,67.7,1,0,0,6,0,0,5,0,1021,0,0,0,0,410,0,271,0,0,112,0,0,0,0,0,0,86,0,132,10,0
103,295075,0,3,0,0,63.7,4,1,63.7,1,8,1,6,2,0,5,0,1535,9,0,0,0,226,0,161,0,0,1114,0,0,0,0,0,0,5,0,20,0,1
104,296424,0,3,0,0,78.9,5,0,78.9,1,6,0,2,1,0,5,0,1327,4,0,0,0,116,0,287,0,0,866,0,0,0,0,0,0,4,0,41,9,1
105,298034,0,3,0,0,72.4,5,0,72.4,1,6,0,6,1,0,17,0,1623,14,0,0,0,267,0,256,0,2,973,0,0,0,0,0,0,10,0,79,22,0
106,298838,0,3,0,0,80.4,4,1,80.4,0,12,0,6,0,0,5,0,1479,6,0,0,0,216,0,298,0,0,832,0,0,0,0,0,0,18,0,89,20,1
107,301967,0,3,0,0,53.5,5,0,53.5,1,9,0,1,0,0,5,0,192,0,0,0,0,0,0,47,0,0,72,0,0,0,0,0,0,15,0,51,7,1
108,302476,0,3,0,0,85.7,5,0,85.7,1,7,0,6,0,0,5,0,1664,6,0,0,0,45,0,329,0,1,986,0,0,0,0,0,0,12,0,164,121,1
109,303521,0,3,0,0,80.6,3,2,80.6,0,2,0,1,1,0,5,0,7033,6,0,0,0,245,0,629,0,0,5846,0,0,0,0,0,0,59,0,179,69,1
110,303985,0,3,0,0,76.9,3,2,76.9,0,6,1,6,0,1,5,0,381,0,0,0,0,50,0,82,0,0,157,0,0,0,0,0,0,11,0,69,12,1
111,304465,0,3,0,0,75.1,5,0,75.1,0,11,0,4,0,0,5,0,3378,5,0,0,0,651,0,444,0,0,2039,0,0,0,0,0,0,49,0,132,58,1
112,306646,0,3,0,0,52.7,4,1,52.7,1,8,0,7,0,0,5,0,144,0,0,0,0,24,0,34,0,0,42,0,0,0,0,0,0,2,0,35,7,1
113,309142,0,3,0,0,65.8,3,2,65.8,0,8,0,8,1,0,5,0,516,0,0,0,0,110,0,103,0,0,257,0,0,0,0,0,0,10,0,29,7,1
114,310412,0,3,0,0,77.1,5,0,77.1,0,3,0,3,1,0,5,0,2309,9,0,0,0,180,0,323,0,0,1740,0,0,0,0,0,0,18,0,39,0,1
115,311235,0,3,0,0,64.9,5,0,64.9,1,9,0,4,1,0,5,0,1085,1,0,0,0,340,0,208,0,7,426,0,0,0,0,0,0,12,0,53,38,1
116,313937,0,3,0,0,81.4,5,0,81.4,1,6,1,7,1,0,5,0,6718,19,0,0,0,1863,0,1818,0,0,2510,0,0,0,0,0,0,115,0,258,135,1
117,315076,0,3,0,0,67.3,3,2,67.3,1,12,0,0,0,0,5,0,1231,9,0,0,0,155,1,261,0,1,651,0,0,0,0,0,0,18,0,89,46,1
118,315744,0,3,0,0,82.9,1,4,82.9,1,6,0,8,1,0,5,0,3822,9,0,0,0,929,2,477,0,0,2275,0,0,0,0,0,0,29,0,73,28,1
119,323370,0,3,0,0,71.3,4,1,71.3,0,11,0,2,0,0,17,0,1937,25,0,0,0,262,0,341,0,0,1042,0,0,0,0,0,0,57,0,157,53,1
120,328024,0,3,0,0,50.9,2,3,50.9,1,12,0,9,1,0,5,0,2159,17,0,0,0,249,0,460,0,0,1317,0,0,0,0,0,0,4,0,73,39,1
121,329659,0,3,0,0,47.8,5,0,47.8,0,0,0,2,0,0,5,1,407,0,0,0,0,47,1,99,0,0,210,0,0,0,0,0,0,13,0,32,5,0
122,330594,0,3,0,0,58.8,2,3,58.8,1,9,2,4,0,0,5,0,918,0,0,0,0,84,0,348,0,0,359,0,0,0,0,0,0,10,0,74,43,1
123,331358,0,3,0,0,76.6,2,2,76.6,0,8,1,8,1,1,5,0,4178,24,0,0,0,2114,4,760,0,5,850,0,0,0,0,0,0,49,0,243,129,1
124,332884,0,3,0,0,81.9,5,0,81.9,1,10,0,5,0,0,5,0,1543,9,0,0,0,25,0,301,0,0,956,0,0,0,0,0,0,38,0,130,84,1
125,334441,0,3,0,0,40.2,5,0,40.2,1,3,1,5,0,0,5,0,250,0,0,0,0,5,1,133,0,0,67,0,0,0,0,0,0,7,0,36,1,0
126,335247,0,3,0,0,71.3,4,1,71.3,1,9,0,7,0,0,5,0,553,0,0,0,0,146,0,137,0,0,152,0,0,0,0,0,0,20,0,85,13,1
127,335764,0,3,0,0,44.4,2,0,44.4,0,7,0,1,0,1,5,0,1334,0,0,0,0,471,0,354,0,0,337,0,0,0,0,0,0,16,0,106,50,1
129,338407,0,3,0,0,72,4,1,72,1,1,0,5,1,0,5,0,229,0,0,0,0,47,0,42,0,0,115,0,0,0,0,0,0,11,0,13,1,1
131,342007,0,3,0,0,76.4,1,3,76.4,0,11,1,6,0,1,5,0,2276,14,0,0,0,316,0,318,0,1,1328,0,0,0,0,0,0,39,0,156,104,1
132,345440,0,3,0,0,73,5,0,73,1,8,1,8,0,0,5,0,149,0,0,0,0,0,0,34,0,0,97,0,0,0,0,0,0,3,0,14,1,1
133,345519,0,3,0,0,76.7,5,0,76.7,0,4,0,10,0,0,5,0,1053,6,0,0,0,101,0,304,0,8,464,0,0,0,0,0,0,8,0,103,59,1
134,346118,0,3,0,0,72.1,5,0,72.1,0,0,0,1,1,0,17,0,589,0,0,0,0,207,0,119,0,0,174,0,0,0,0,0,0,13,0,66,10,1
136,348807,0,3,0,0,75.7,0,5,75.7,1,1,0,7,1,0,5,0,362,0,0,0,0,57,0,91,0,3,183,0,0,0,0,0,0,3,0,23,2,1
137,350156,0,3,0,0,51.3,5,0,51.3,1,9,0,2,0,0,17,0,462,0,0,0,0,32,0,67,0,0,228,0,0,0,0,0,0,39,0,96,0,1
138,350939,0,3,0,0,69.4,5,0,69.4,1,0,2,7,0,0,5,0,1363,3,0,0,0,149,1,288,0,0,738,0,0,0,0,0,0,15,0,99,70,1
139,351336,0,3,0,0,66.5,5,0,66.5,0,1,0,9,0,0,5,0,784,0,0,0,0,257,0,267,0,0,218,0,0,0,0,0,0,6,0,29,7,1
140,353665,0,3,0,0,63.9,5,0,63.9,1,8,0,6,1,0,5,0,360,0,0,0,0,99,0,75,0,0,105,0,0,0,0,0,0,11,0,58,12,1
141,354170,0,3,0,0,56.2,5,0,56.2,0,10,0,0,0,0,5,0,564,0,0,0,0,87,1,158,0,0,232,0,0,0,0,0,0,4,0,76,6,0
142,356170,0,3,0,0,58.6,3,1,58.6,1,5,1,2,0,0,5,0,768,3,0,0,0,38,0,67,0,0,607,0,0,0,0,0,0,5,0,47,1,1
143,358182,0,3,0,0,74.3,4,1,74.3,1,8,2,7,0,0,17,0,1695,0,0,0,0,146,0,319,0,0,1062,0,0,0,0,0,0,26,0,98,44,1
144,364957,0,3,0,0,61.1,3,2,61.1,0,0,1,6,1,0,5,0,1328,0,0,0,0,229,2,349,0,0,565,0,0,0,0,0,0,31,0,112,40,1
146,371710,0,3,0,0,80.2,5,0,80.2,1,6,1,9,0,0,5,0,2920,0,0,0,0,549,0,512,0,3,1739,0,0,0,0,0,0,9,0,97,11,1
147,373872,0,3,0,0,65,1,4,65,0,8,0,3,0,0,5,0,1407,10,0,0,0,106,0,263,0,4,847,0,0,0,0,0,0,10,0,104,63,1
148,375260,0,3,0,0,69.6,2,3,69.6,1,2,1,10,0,0,5,0,773,0,0,0,0,56,0,201,0,0,385,0,0,0,0,0,0,50,0,74,7,1
149,375646,0,3,0,0,75.2,5,0,75.2,1,3,0,3,0,0,17,0,606,0,0,0,0,234,0,93,0,0,208,0,0,0,0,0,0,8,0,49,14,1
150,377546,0,3,0,0,83.4,3,2,83.4,1,0,0,4,0,0,17,1,1615,11,0,0,0,297,0,284,0,0,922,0,0,0,0,0,0,22,0,73,6,1
152,382095,0,3,0,0,77,4,1,77,1,8,2,4,0,0,5,0,2251,5,0,0,0,1044,0,534,0,0,551,0,0,0,0,0,0,4,0,90,23,1
154,383600,0,3,0,0,78.8,5,0,78.8,1,6,0,6,0,0,5,0,725,3,0,0,0,25,0,144,0,0,450,0,0,0,0,0,0,6,0,88,9,1
155,383723,0,3,0,0,80.3,4,1,80.3,1,0,1,8,2,0,5,0,6573,29,0,0,0,3199,0,846,0,2,2094,0,0,0,0,0,0,30,0,215,158,1
156,384203,0,3,0,0,76.3,3,2,76.3,1,6,1,1,0,0,17,0,4338,4,0,0,0,1887,0,1350,0,0,936,0,0,0,0,0,0,17,0,125,19,1
157,384725,0,3,0,0,80.5,5,0,80.5,0,0,2,8,1,0,5,0,4172,3,0,0,0,2028,0,734,0,0,1178,0,0,0,0,0,0,47,0,124,58,1
158,387533,0,3,0,0,15.2,1,1,15.2,1,6,1,4,1,0,5,0,701,0,0,0,0,127,0,143,0,0,417,0,0,0,0,0,0,0,0,11,3,0
159,388147,0,3,0,0,11.9,1,1,11.9,0,9,0,9,1,0,39,0,407,3,0,0,0,108,0,74,0,0,170,0,0,0,0,0,0,4,0,31,17,0
160,390890,0,3,0,0,33.9,0,2,33.9,1,6,0,0,0,1,11,0,283,0,0,0,0,39,0,84,0,0,111,0,0,0,0,0,0,14,0,24,11,1
161,391249,0,3,0,0,81.6,2,3,81.6,1,8,1,8,1,0,5,0,2463,0,0,0,0,460,0,573,0,0,1368,0,0,0,0,0,0,7,0,51,4,1
162,396599,0,3,0,0,37.4,1,3,37.4,0,8,2,5,0,0,17,1,734,0,0,0,0,124,0,144,0,3,365,0,0,0,0,0,0,14,0,49,35,0
163,396655,0,3,0,0,42.3,0,5,42.3,0,8,2,3,0,0,27,1,459,0,0,0,0,97,0,125,0,1,160,0,0,0,0,0,0,14,0,61,1,0
164,398171,0,3,0,0,69.3,4,1,69.3,0,9,0,6,0,0,17,0,1179,0,0,0,0,178,0,403,0,0,547,0,0,0,0,0,0,7,0,39,5,1
165,398349,0,3,0,0,78.6,4,1,78.6,0,1,1,6,0,0,5,0,4131,3,0,0,0,1441,0,896,0,0,1310,0,0,0,0,0,0,61,0,299,121,1
166,400147,0,3,0,0,60,4,1,60,1,7,2,5,1,0,5,0,327,0,0,0,0,29,0,58,0,0,176,0,0,0,0,0,0,4,0,51,9,1
167,400682,0,3,0,0,52.1,5,0,52.1,0,3,0,1,0,0,5,0,1423,8,0,0,0,153,0,184,0,0,1024,0,0,0,0,0,0,14,0,38,2,1
168,401404,0,3,0,0,76.7,4,1,76.7,1,11,0,8,0,0,27,0,1232,0,0,0,0,66,0,415,0,0,606,0,0,0,0,0,0,10,0,98,37,1
169,402204,0,3,0,0,72,3,2,72,1,11,0,10,1,0,5,0,644,0,0,0,0,38,0,157,0,0,372,0,0,0,0,0,0,11,0,45,21,1
170,402727,0,3,0,0,74,5,0,74,0,0,0,5,0,0,5,1,341,0,0,0,0,45,0,93,0,0,172,0,0,0,0,0,0,2,0,28,1,1
171,402961,0,3,0,0,67.9,4,1,67.9,0,5,2,7,1,0,5,0,4292,11,0,0,0,1454,1,688,0,0,1818,0,0,0,0,0,0,5,0,202,113,1
172,404356,0,3,0,0,75.3,2,3,75.3,0,7,0,8,0,0,5,0,1682,5,0,0,0,443,0,366,0,2,678,0,0,0,0,0,0,15,0,166,7,1
173,406671,0,3,0,0,77.7,4,1,77.7,1,9,0,7,1,0,5,0,344,0,0,0,0,80,0,59,0,0,145,0,0,0,0,0,0,9,0,45,6,1
174,406682,0,3,0,0,83.8,5,0,83.8,1,7,1,6,2,0,5,0,2402,13,0,0,0,301,0,508,0,4,1132,0,0,0,0,0,0,9,0,262,173,1
175,409100,0,3,0,0,79.1,5,0,79.1,1,7,1,7,1,0,5,0,1909,13,0,0,0,156,0,313,0,3,1303,0,0,0,0,0,0,18,0,66,37,1
